#,الاسم عربي,الاسم انجليزي,الفئة,السعر,الوحدة,المصدر,الحالة
1,بطاطس محلي,Potato Local,خضروات محلية,3.5,كجم,محلي,متوفر
2,بصل أحمر محلي,Red Onion Local,خضروات محلية,3.5,كجم,محلي,متوفر
3,طماطم مدور محلي,Tomato Round Local,خضروات محلية,5,كجم,محلي,متوفر
4,خيار محلي,Cucumber Local,خضروات محلية,4.5,كجم,محلي,متوفر
5,جزر محلي,Carrot Local,خضروات محلية,4.5,كجم,محلي,متوفر
6,كوسة محلي,Zucchini Local,خضروات محلية,6,كجم,محلي,متوفر
7,باذنجان أسود مدور,Eggplant Round,خضروات محلية,3.5,كجم,محلي,متوفر
8,رومي أخضر محلي,Green Capsicum Local,خضروات محلية,6,كجم,محلي,متوفر
9,فلفل حار أخضر,Green Chili,خضروات محلية,9,كجم,محلي,متوفر
10,ثوم محلي,Garlic Local,خضروات محلية,10,كجم,محلي,متوفر
11,زهرة (قرنبيط),Cauliflower,خضروات محلية,7,كجم,محلي,متوفر
13,بامية محلي,Okra Local,خضروات محلية,15,كجم,محلي,متوفر
14,فطر بوتن أبيض,Button Mushroom White,فطر,23,كجم,مستورد,متوفر
15,أفوكادو كينيا,Avocado Kenya,فواكه مستوردة,20,كجم,كينيا,متوفر
16,زنجبيل,Ginger,خضروات محلية,9,كجم,محلي,متوفر
17,لفت محلي,Turnip Local,خضروات محلية,3.5,كجم,محلي,متوفر
18,بنجر محلي,Beetroot Local,خضروات محلية,5,كجم,محلي,متوفر
19,قرع عسلي,Pumpkin,خضروات محلية,5.5,كجم,محلي,متوفر
21,باذنجان أبيض,Eggplant White,خضروات محلية,4,كجم,محلي,متوفر
22,رومي أحمر محلي,Red Capsicum Local,خضروات محلية,8,كجم,محلي,متوفر
23,رومي أصفر محلي,Yellow Capsicum Local,خضروات محلية,8,كجم,محلي,متوفر
24,باميه صغير محلي,Small Okra Local,خضروات محلية,12,كجم,محلي,متوفر
25,فلفل حار أحمر,Red Chili,خضروات محلية,8,كجم,محلي,متوفر
26,ذرة (كوز),Corn Cob,خضروات محلية,12,كجم,محلي,متوفر
27,قلقاس,Taro,خضروات محلية,12,كجم,محلي,متوفر
28,بركلي محلي,Broccoli Local,خضروات محلية,16,كجم,محلي,متوفر
29,ملفوف أبيض محلي,White Cabbage Local,خضروات محلية,3.5,كجم,محلي,متوفر
30,ملفوف أحمر محلي,Red Cabbage Local,خضروات محلية,4.5,كجم,محلي,متوفر
31,ارتيشوك طازج,Fresh Artichoke,خضروات مستوردة,33,كجم,مستورد,متوفر
32,هليون بيبي,Baby Asparagus,خضروات مستوردة,9,حزمة,مستورد,متوفر
33,هليون جومبو أخضر,Green Jumbo Asparagus,خضروات مستوردة,55,كجم,مستورد,متوفر
34,هليون أخضر,Green Asparagus,خضروات مستوردة,50,كجم,مستورد,متوفر
35,هليون أبيض,White Asparagus,خضروات مستوردة,70,كجم,مستورد,متوفر
36,أفوكادو أمريكي,Avocado USA,فواكه مستوردة,30,كجم,أمريكا,متوفر
37,جزر بيبي هولندا,Baby Carrot Holland,خضروات مستوردة,20,حزمة,هولندا,متوفر
38,ذرة بيبي,Baby Corn,خضروات مستوردة,5,حزمة,مستورد,متوفر
39,سبانخ بيبي,Baby Spinach,أعشاب وورقيات,60,كجم,مستورد,متوفر
40,براعم فاصوليا,Bean Sprouts,خضروات مستوردة,8,حزمة,مستورد,متوفر
41,فاصوليا هاريكوت,Haricot Beans,خضروات مستوردة,9,حزمة,مستورد,متوفر
